abandon	放弃；抛弃
interact	相互作用
intermediate	中间的；中级的
internal	内部的
interpret	解释；口译
interval	间隔
intervene	干预
intrinsic	内在的
invest	投资
investigate	调查
invoke	恳求
involve	牵涉
isolate	孤立
issue	问题；发行
item	项目
job	工作
journal	杂志；日记
justify	证明
label	标签
labor	劳动
layer	层
lecture	讲课；讲座
legal	合法的；法律的
legislate	立法
levy	征收
liberal	自由的；开明的
license	执照
likewise	同样地
link	连接；环节
locate	使位于；找到
logic	逻辑
maintain	维持；维修
major	主要的；专业
manipulate	操作
manual	体力的；手册
margin	页边
mature	成熟
maximize	使最大化
mechanism	装置；机制
media	媒体
mediate	调停
medical	医学的
medium	媒介；中等的
mental	脑力的
method	方法
migrate	迁移
military	军事的
minimal	最小的
minimize	最小化
minimum	最小值
ministry	部
minor	次要的；辅修专业
mode	模式
modify	修改；修饰
monitor	监视
motive	动机
mutual	相互的
negate	否定
network	网络
neutral	中立的
nevertheless	然而
nonetheless	然而
norm	标准
normal	正常的
notion	概念；想法
notwithstanding	虽然
nuclear	核的；核心的
objective	客观的；目标
obtain	获得
obvious	明显的
occupy	占领；使忙碌
occur	出现
odd	奇数的；奇怪的；临时的
offset	抵消
ongoing	进行中的
option	选择
orient	东方
outcome	结果
output	产量；产出
overall	总体的
overlap	重叠
overseas	海外
panel	专家小组；面板
paradigm	范例
paragraph	段落
parallel	平行的
parameter	参数
participate	参加
partner	搭档
passive	被动的
perceive	察觉；理解
percent	百分之
period	时期；句号
persist	持续
perspective	角度
phase	阶段
phenomenon	现象
philosophy	哲学
physical	身体的；物理的
plus	加
policy	政策
portion	部分
pose	摆姿势
positive	积极的；阳性的
potential	潜在的；潜力
practitioner	从业者
precede	先于
precise	精确的
predict	预测
predominant	主要的
preliminary	初步的；初赛
presume	假设
previous	先前的
primary	初级的；主要的
prime	首要的
principal	主要的；校长
principle	原则
prior	在先的
priority	优先；重点
proceed	进行
process	过程；加工
professional	专业的；专业人员
prohibit	禁止
project	工程
promote	促进；促销
proportion	比例
prospect	前景
protocol	协议；礼仪
psychology	心理学
publication	出版；出版物
publish	出版
purchase	购买
pursue	追赶；追求
qualitative	定性的
quote	引用
radical	基本的；激进的
random	随机的
range	范围；山脉
ratio	比
rational	理性的
react	反应
recover	恢复
refine	提炼
regime	政权
region	地区
register	登记；挂号
regulate	调节
reinforce	加强
reject	拒绝
relax	放松
release	释放
relevant	有关的
reluctance	勉强
rely	依赖
remove	移走
require	要求
research	研究
reside	居住
resolve	解决；决心；决心
resource	资源
respond	响应
restore	恢复
restrain	抑制
restrict	限制
retain	保留
reveal	显示
revenue	收入；税收
reverse	背面；颠倒
revise	修改
revolution	革命；旋转
rigid	僵硬的：刻板的
role	角色
route	路线
scenario	剧本；方案
schedule	时间表
scheme	方案
scope	范围
section	部分
sector	部门
secure	安全的
seek	试图
select	选择
sequence	顺序
series	系列
sex	性；性别
shift	转换
significant	重要的
similar	相似的
simulate	模拟
site	地点
so-called	所谓的
sole	脚底；鞋底；唯一的
somewhat	有点
source	来源
specific	具体的
specify	详述
sphere	球体；领域
stable	稳定的；马厩
statistic	统计的
status	地位
straightforward	坦率的
strategy	战略；策略
stress	压力；重音；强调
structure	结构
style	风格
submit	使屈服；提交
subordinate	下级的；从属的
subsequent	随后的
subsidy	补助
substitute	代替者；代替
successor	继任者
sufficient	足够的
sum	金额
summary	总结
supplement	补充
survey	调查
survive	幸存
suspend	暂停
sustain	保持
symbol	象征；符号
tape	磁带
target	靶子；目标
task	任务
team	队
technical	技术的
technique	技巧
technology	技术
temporary	暂时的
tense	紧张的；时态
terminate	终止
text	文本
theme	主题
theory	理论
thereby	从而
thesis	论文
topic	话题
trace	痕迹
tradition	传统
transfer	转移；换车
transform	转变
transit	通过；运输；过渡
transmit	输送
transport	运输
trend	趋势
trigger	扳机；触发
ultimate	最终的
undergo	经受
underlie	是…的基础
undertake	从事
uniform	一致的；制服
unify	统一
unique	独一无二的
utilize	利用
valid	有效的
vary	变化
vehicle	车辆
version	译文
via	经过
violate	违犯
virtual	实际上的；虚拟的
visible	可见的
vision	视力
visual	视觉的
volume	册；音量；体积
voluntary	志愿的
welfare	福利
whereas	而
whereby	由此
widespread	普遍的
